lang+version+alignment	alignment.format	alignment.license	alignment.scope	alignment.team	source.license	target.license	target.name	target.url	target.copyright
eng+CSBE+NA27-CSBE-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Copyright © 2017 by Holman Bible Publishers.	'Christian Standard Bible'@eng	https://csbible.com/	
eng+CSBE+WLC-CSBE-manual	grapecity	CC-BY-4.0	OT	Clear	CC-BY-4.0	Copyright © 2017 by Holman Bible Publishers.	'Christian Standard Bible'@eng	https://csbible.com/	
eng+ESV+NA27-ESV-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Copyright © 2001 by Crossway	'English Standard Version'@eng	https://www.esv.org/	
eng+ESV+WLC-ESV-manual	grapecity	CC-BY-4.0	OT	Clear	CC-BY-4.0	Copyright © 2001 by Crossway	'English Standard Version'@eng	https://www.esv.org/	
eng+LEB+NA27-LEB-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Copyright	'Lexham English Bible'@eng	http://www.lexhamenglishbible.com	Copyright 2012 Logos Bible Software
eng+LEB+WLC-LEB-manual	grapecity	CC-BY-4.0	OT	Clear	CC-BY-4.0	Copyright	'Lexham English Bible'@eng	http://www.lexhamenglishbible.com	Copyright 2012 Logos Bible Software
eng+NET+NA27-NET-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	COPYRIGHT (c) 1996 BY BIBLICAL STUDIES PRESS, L.L.C.	'the NET BIBLE®'@eng	https://netbible.org/	
eng+NET+WLC-NET-manual	grapecity	CC-BY-4.0	OT	Clear	CC-BY-4.0	COPYRIGHT (c) 1996 BY BIBLICAL STUDIES PRESS, L.L.C.	'the NET BIBLE®'@eng	https://netbible.org/	
eng+YLT+NA27-YLT-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Public domain	'Young's Literal Translation'@eng	https://ebible.org/find/details.php?id=engylt	
eng+YLT+WLC-YLT-manual	grapecity	CC-BY-4.0	OT	Clear	CC-BY-4.0	Public domain	'Young's Literal Translation'@eng	https://ebible.org/find/details.php?id=engylt	
hin+HSB+NA27-HSB-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Copyright © 2023 Global Bible Initiative	'Hindi Standard Bible'@eng	https://gbi.llc/hindi-standard-bible	
man+CUVMP+NA27-CUVMP-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Public domain	'Chinese Union Version with Modern Punctuation'@eng		
man+SGS+NA27-SGS-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Public domain	'Sih Gao'@eng		
man+SGS+WLC-SGS-manual	grapecity	CC-BY-4.0	OT	Clear	Copyright	Public domain	'Sih Gao'@eng		
man+XYB+NA27-XYB-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Uncertain	'New Chinese Version'@eng	https://www.wwbibleus.org/	
man+XYB+WLC-XYB-manual	grapecity	CC-BY-4.0	OT	Clear	Copyright	Uncertain	'New Chinese Version'@eng	https://www.wwbibleus.org/	
mya+MCL+NA27-MCL-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Public domain	'Myanmar Common Language'@eng	http://www.myanmarbible.com/	© 2005 Bible Society of Myanmar
mya+MCL+WLC-MCL-manual	grapecity	CC-BY-4.0	OT	Clear	Copyright	Public domain	'Myanmar Common Language'@eng	http://www.myanmarbible.com/	© 2005 Bible Society of Myanmar
mya+MSB+NA27-MSB-manual	grapecity	CC-BY-4.0	NT	Clear	Copyright	Copyright © 2023 Global Bible Initiative	'Myanmar Standard Bible'@eng	https://gbi.llc/myanmar-standard-bible	
